period_start,period_end,product_line,page,zone,device,exposure_rate,click_rate,hover_rate,conversion_rate_after_click,attractiveness_rate,rage_clicks,pageviews
2026-06-29,2026-09-20,auto,/verzekeringen/autoverzekering,hero_banner,desktop,0.9944,0.0423,0.3138,0.3628,0.0426,13,130723
2026-06-29,2026-09-20,auto,/verzekeringen/autoverzekering,cta_bereken_premie,desktop,0.9248,0.4845,0.2686,0.3467,0.5239,13,130723
2026-06-29,2026-09-20,auto,/verzekeringen/autoverzekering,prijsindicatie,desktop,0.8767,0.1622,0.2545,0.3279,0.185,61,130723
2026-06-29,2026-09-20,auto,/verzekeringen/autoverzekering,usp_blok,desktop,0.6951,0.0485,0.1965,0.311,0.0698,16,130723
2026-06-29,2026-09-20,auto,/verzekeringen/autoverzekering,trust_reviews,desktop,0.4782,0.0463,0.1503,0.3608,0.0969,14,130723
2026-06-29,2026-09-20,auto,/verzekeringen/autoverzekering,keurmerken_anwb,desktop,0.3694,0.019,0.0999,0.3194,0.0515,23,130723
2026-06-29,2026-09-20,auto,/verzekeringen/autoverzekering,faq,desktop,0.2735,0.0562,0.0815,0.3594,0.2054,8,130723
2026-06-29,2026-09-20,auto,/verzekeringen/autoverzekering,hero_banner,mobile,0.9866,0.0326,0.2982,0.3937,0.033,21,237310
2026-06-29,2026-09-20,auto,/verzekeringen/autoverzekering,cta_bereken_premie,mobile,0.4646,0.2468,0.1352,0.318,0.5311,26,237310
2026-06-29,2026-09-20,auto,/verzekeringen/autoverzekering,prijsindicatie,mobile,0.3099,0.0532,0.0908,0.3652,0.1718,89,237310
2026-06-29,2026-09-20,auto,/verzekeringen/autoverzekering,usp_blok,mobile,0.5232,0.0356,0.1585,0.3493,0.068,20,237310
2026-06-29,2026-09-20,auto,/verzekeringen/autoverzekering,trust_reviews,mobile,0.2322,0.0194,0.0764,0.4009,0.0834,22,237310
2026-06-29,2026-09-20,auto,/verzekeringen/autoverzekering,keurmerken_anwb,mobile,0.1744,0.0074,0.0431,0.331,0.0424,18,237310
2026-06-29,2026-09-20,auto,/verzekeringen/autoverzekering,faq,mobile,0.1887,0.0407,0.0551,0.3308,0.2155,23,237310
2026-06-29,2026-09-20,auto,/verzekeringen/autoverzekering,hero_banner,tablet,0.9695,0.041,0.3014,0.3679,0.0423,4,27573
2026-06-29,2026-09-20,auto,/verzekeringen/autoverzekering,cta_bereken_premie,tablet,0.91,0.4747,0.2803,0.3744,0.5217,6,27573
2026-06-29,2026-09-20,auto,/verzekeringen/autoverzekering,prijsindicatie,tablet,0.8397,0.1496,0.2474,0.356,0.1781,3,27573
2026-06-29,2026-09-20,auto,/verzekeringen/autoverzekering,usp_blok,tablet,0.6905,0.0436,0.2194,0.3366,0.0631,2,27573
2026-06-29,2026-09-20,auto,/verzekeringen/autoverzekering,trust_reviews,tablet,0.474,0.0458,0.1406,0.4115,0.0967,1,27573
2026-06-29,2026-09-20,auto,/verzekeringen/autoverzekering,keurmerken_anwb,tablet,0.3609,0.0162,0.106,0.3555,0.045,3,27573
2026-06-29,2026-09-20,auto,/verzekeringen/autoverzekering,faq,tablet,0.2639,0.0556,0.066,0.3398,0.2107,3,27573
