date,product_line,step,device,channel,users,source
2026-06-29,auto,page_view,mobile,sea,842,dummy
2026-06-29,auto,view_item,mobile,sea,337,dummy
2026-06-29,auto,add_to_cart,mobile,sea,105,dummy
2026-06-29,auto,begin_checkout,mobile,sea,33,dummy
2026-06-29,auto,add_payment_info,mobile,sea,22,dummy
2026-06-29,auto,purchase,mobile,sea,16,dummy
2026-06-29,auto,page_view,mobile,seo,743,dummy
2026-06-29,auto,view_item,mobile,seo,307,dummy
2026-06-29,auto,add_to_cart,mobile,seo,140,dummy
2026-06-29,auto,begin_checkout,mobile,seo,47,dummy
2026-06-29,auto,add_payment_info,mobile,seo,31,dummy
2026-06-29,auto,purchase,mobile,seo,27,dummy
2026-06-29,auto,page_view,mobile,direct,434,dummy
2026-06-29,auto,view_item,mobile,direct,169,dummy
2026-06-29,auto,add_to_cart,mobile,direct,66,dummy
2026-06-29,auto,begin_checkout,mobile,direct,19,dummy
2026-06-29,auto,add_payment_info,mobile,direct,12,dummy
2026-06-29,auto,purchase,mobile,direct,12,dummy
2026-06-29,auto,page_view,mobile,email,250,dummy
2026-06-29,auto,view_item,mobile,email,109,dummy
2026-06-29,auto,add_to_cart,mobile,email,48,dummy
2026-06-29,auto,begin_checkout,mobile,email,11,dummy
2026-06-29,auto,add_payment_info,mobile,email,9,dummy
2026-06-29,auto,purchase,mobile,email,9,dummy
2026-06-29,auto,page_view,mobile,paid_social,205,dummy
2026-06-29,auto,view_item,mobile,paid_social,79,dummy
2026-06-29,auto,add_to_cart,mobile,paid_social,34,dummy
2026-06-29,auto,begin_checkout,mobile,paid_social,13,dummy
2026-06-29,auto,add_payment_info,mobile,paid_social,10,dummy
2026-06-29,auto,purchase,mobile,paid_social,7,dummy
2026-06-29,auto,page_view,mobile,affiliate,292,dummy
2026-06-29,auto,view_item,mobile,affiliate,110,dummy
2026-06-29,auto,add_to_cart,mobile,affiliate,54,dummy
2026-06-29,auto,begin_checkout,mobile,affiliate,16,dummy
